NAME,year,month,avg_pm25,max_pm25,std_pm25,days_above_35,obs_count,pm25_lag1,pm25_lag2,pm25_rolling3,days_above_lag1,month_sin,month_cos,next_month_pm25,label_next_month_pm25
Sacramento,2017,6,6.129500482142857,14.25,3.6017191865677183,0,224,5.271530222222222,4.571563257309942,5.020244471982783,0.0,1.2246467991473532e-16,-1.0,9.525985312217196,0
Sacramento,2017,7,9.525985312217196,36.791667,3.915239848946397,2,221,6.129500482142857,5.271530222222222,5.3241979872250065,0.0,-0.4999999999999998,-0.8660254037844388,12.796048396624473,1
Sacramento,2017,8,12.796048396624473,22.541667,3.558190176613085,0,237,9.525985312217196,6.129500482142857,6.975672005527426,2.0,-0.8660254037844384,-0.5000000000000004,12.191142896995707,1
Sacramento,2017,9,12.191142896995707,46.9,8.889658059529117,5,233,12.796048396624473,9.525985312217196,9.483844730328176,0.0,-1.0,-1.8369701987210297e-16,10.536526835680752,0
Sacramento,2017,10,10.536526835680752,42.0,6.781354763978278,1,213,12.191142896995707,12.796048396624473,11.504392201945791,5.0,-0.8660254037844386,0.5000000000000001,7.721048713043478,0
Sacramento,2017,11,7.721048713043478,27.1,5.585429116124673,0,230,10.536526835680752,12.191142896995707,11.841239376433643,1.0,-0.5000000000000004,0.8660254037844384,13.652503302521009,1
Sacramento,2017,12,13.652503302521009,40.3,8.73600947049697,5,238,7.721048713043478,10.536526835680752,10.14957281523998,0.0,-2.4492935982947064e-16,1.0,11.223521384615385,0
Sacramento,2018,1,11.223521384615385,42.7,6.30357435826428,3,234,13.652503302521009,7.721048713043478,10.63669295041508,5.0,0.49999999999999994,0.8660254037844387,8.970654550724639,0
Sacramento,2018,2,8.970654550724639,32.8,4.891749353036648,0,207,11.223521384615385,13.652503302521009,10.865691133393291,3.0,0.8660254037844386,0.5000000000000001,5.494744995370371,0
Sacramento,2018,3,5.494744995370371,13.333333,2.612913187324518,0,216,8.970654550724639,11.223521384615385,11.282226412620345,0.0,1.0,6.123233995736766e-17,6.823216008695653,0
Sacramento,2018,4,6.823216008695653,18.608696,3.041972876966309,0,230,5.494744995370371,8.970654550724639,8.562973643570134,0.0,0.8660254037844387,-0.49999999999999983,6.565925204347826,0
Sacramento,2018,5,6.565925204347826,13.166667,2.7385246304849087,0,230,6.823216008695653,5.494744995370371,7.096205184930221,0.0,0.49999999999999994,-0.8660254037844387,8.331748847826086,0
Sacramento,2018,6,8.331748847826086,14.958333,2.631624602683981,0,230,6.565925204347826,6.823216008695653,6.294628736137951,0.0,1.2246467991473532e-16,-1.0,9.711304620833332,0
Sacramento,2018,7,9.711304620833332,25.916667,5.473231879389513,0,240,8.331748847826086,6.565925204347826,7.240296686956522,0.0,-0.4999999999999998,-0.8660254037844388,20.797141114893616,1
