NAME,year,month,avg_pm25,max_pm25,std_pm25,days_above_35,obs_count
San Benito,2015,9,4.139432383333333,7.958333,1.9062071975055337,0,60
San Benito,2015,10,4.2585729193548385,7.434783,1.556150762933043,0,62
San Benito,2015,11,3.846452816666667,8.833333,1.9066521492404436,0,60
San Benito,2015,12,3.7222156935483874,9.0,1.9539928308466872,0,62
San Benito,2016,1,3.7047367096774195,15.0,3.105169492953415,0,62
San Benito,2016,2,3.517005827586207,8.791667,1.972674076812222,0,58
San Benito,2016,3,1.9570301451612904,5.5,1.6514236239111189,0,62
San Benito,2016,4,2.92609355,7.041667,1.8161217490872714,0,60
San Benito,2016,5,3.574538370967742,9.458333,2.691548116326652,0,62
San Benito,2016,6,4.146932355932203,9.125,2.5028902112617915,0,59
San Benito,2016,7,6.982545754716981,16.25,4.396364916408794,0,53
San Benito,2016,8,8.00876685483871,20.416667,3.826558401412405,0,62
San Benito,2016,9,6.879532833333333,12.333333,2.308571941401475,0,60
San Benito,2016,10,2.821821071428572,5.695652,1.5390123009800896,0,56
San Benito,2016,11,3.2913539166666665,7.208333,1.6547277443234603,0,60
San Benito,2016,12,3.3772126451612903,6.913043,1.796654516081515,0,62
San Benito,2017,1,2.1248193548387095,6.833333,1.8675790672613366,0,62
San Benito,2017,2,1.7722233571428572,4.0,1.3033415236779153,0,56
San Benito,2017,3,3.1748284032258063,8.0,1.4111310030025326,0,62
San Benito,2017,4,3.1541661,7.409091,1.8508868746798817,0,60
San Benito,2017,5,4.140377887096775,10.791667,2.161707056648921,0,62
San Benito,2017,6,4.330508983333333,8.26087,2.494300157175525,0,60
San Benito,2017,7,5.598571919354839,13.333333,2.559397851821357,0,62
San Benito,2017,8,7.653669951612903,14.083333,3.0118918058346513,0,62
San Benito,2017,9,7.674118883333334,42.083333,8.420854172185738,2,60
San Benito,2017,10,8.68273143548387,34.333333,8.695131000246477,0,62
San Benito,2017,11,4.107067942307692,12.375,2.7929779815703597,0,52
San Benito,2017,12,7.841532225806452,24.541667,5.059849443860796,0,62
San Benito,2018,1,5.686767209677419,16.0,3.3093196837632144,0,62
San Benito,2018,2,4.034724964285714,6.166667,1.1403672212263745,0,56
San Benito,2018,3,2.4208742741935483,6.416667,1.6887783190683585,0,62
San Benito,2018,4,5.416539816666667,9.416667,2.139116425447044,0,60
San Benito,2018,5,5.141580442622951,12.217391,2.876658992158169,0,61
San Benito,2018,6,6.94913645,11.25,1.9244448320551772,0,60
San Benito,2018,7,5.69893986440678,15.454545,2.9846660399196834,0,59
San Benito,2018,8,12.62943918032787,36.708333,8.000543508032212,2,61
San Benito,2018,9,7.237315272727273,11.846154,2.594566319818447,0,55
San Benito,2018,10,5.8868166071428565,14.230769,2.363525716962388,0,56
San Benito,2018,11,17.760863677419355,52.75,18.1415337100915,18,62
San Benito,2018,12,6.0712358,15.521739,3.039595559884515,0,60
San Benito,2019,1,3.7457732741935486,7.75,1.8089623413068785,0,62
San Benito,2019,2,2.987531351851852,6.0,1.1854068772179889,0,54
San Benito,2019,3,2.974404333333333,5.909091,1.6108388789313057,0,60
San Benito,2019,4,5.172140416666666,10.041667,2.5795512981897484,0,60
San Benito,2019,5,4.599028306451612,9.458333,1.7180401796368565,0,62
San Benito,2019,6,5.459728283333333,12.916667,2.3219800092497267,0,60
San Benito,2019,7,6.1253304516129035,19.25,2.9930721647241834,0,62
San Benito,2019,8,5.329968693548387,9.791667,2.0290881322124714,0,62
San Benito,2019,9,4.9110024333333335,8.5,1.5223887145008792,0,60
San Benito,2019,10,6.243153333333333,14.375,2.9610645114445484,0,54
San Benito,2019,11,7.47615945,14.333333,2.882395419709862,0,60
San Benito,2019,12,4.2116584516129025,7.458333,1.8361330922944044,0,62
San Benito,2020,1,5.715162416666667,10.458333,2.2957461017779948,0,60
San Benito,2020,2,6.575530982758621,11.208333,2.5888121194031886,0,58
San Benito,2020,3,4.073308032786885,9.583333,2.0918758034346743,0,61
San Benito,2020,4,4.74022506779661,8.428571,1.5478367437210983,0,59
San Benito,2020,5,4.974485725806452,7.666667,1.5995972225433912,0,62
San Benito,2020,6,5.678039483333333,10.458333,2.167759701316604,0,60
San Benito,2020,7,7.7434857419354834,24.75,4.042701038992461,0,62
San Benito,2020,8,17.70376979032258,84.833333,18.82208180688623,10,62
San Benito,2020,9,22.65858091666667,89.041667,21.584544487282866,12,60
San Benito,2020,10,15.31320120967742,73.958333,16.570877330011015,6,62
San Benito,2020,11,5.241867962962964,13.958333,2.5481615644063482,0,54
San Benito,2020,12,6.138034951612903,13.583333,2.6967321109132563,0,62
San Bernardino,2015,1,17.932499999999997,45.1,11.792944163832969,5,40
San Bernardino,2015,2,19.984444444444442,53.5,15.62112432741399,8,45
San Bernardino,2015,3,12.309433962264151,39.4,7.691060348796151,1,53
San Bernardino,2015,4,9.759090909090908,37.3,5.6084370903304706,1,44
San Bernardino,2015,5,10.774074074074074,18.4,3.492373641921332,0,54
San Bernardino,2015,6,13.678846153846154,35.3,5.333296686337139,0,52
San Bernardino,2015,7,12.163157894736841,50.5,8.17639528457523,1,57
San Bernardino,2015,8,15.643984991666667,24.879167,4.424528420269576,0,120
San Bernardino,2015,9,13.518630292035398,26.7875,5.061414206789421,0,113
San Bernardino,2015,10,12.203277547008547,24.478261,4.913555592595151,0,117
San Bernardino,2015,11,11.608120342105263,21.375,4.19611851033555,0,114
San Bernardino,2015,12,15.096066888888888,35.228571,6.773251409698394,0,117
San Bernardino,2016,1,13.889984139664806,41.6,8.850686146929748,3,179
San Bernardino,2016,2,11.95352037195122,42.266667,8.96159925615761,3,164
San Bernardino,2016,3,11.602138893258427,32.983333,7.61624545948341,0,178
San Bernardino,2016,4,9.436804476190476,21.1,4.735290083190656,0,168
San Bernardino,2016,5,7.719334694444444,22.365217,5.162210949216914,0,216
San Bernardino,2016,6,10.74602494090909,27.408333,5.875930120511796,0,220
San Bernardino,2016,7,12.736050921739132,58.8,9.042198074662656,9,230
San Bernardino,2016,8,12.174606481481483,26.066667,5.653029261799009,0,243
San Bernardino,2016,9,9.60919554112554,25.854167,5.78799227819681,0,231
San Bernardino,2016,10,8.629419835443038,28.9,5.744408879883477,0,237
San Bernardino,2016,11,9.932611415584416,24.2,5.697477904713984,0,231
