NAME,year,month,fire_count,avg_frp
Colusa,2020,8,48,8.893541666666666
Colusa,2020,10,75,8.544266666666667
Colusa,2020,11,225,11.837155555555556
Colusa,2020,12,121,10.283636363636363
Contra Costa,2015,1,53,1.01
Contra Costa,2015,2,73,1.0258904109589042
Contra Costa,2015,3,108,1.4321296296296295
Contra Costa,2015,4,135,1.1663703703703705
Contra Costa,2015,5,89,1.0168539325842696
Contra Costa,2015,6,100,1.1309
Contra Costa,2015,7,100,1.5151
Contra Costa,2015,8,66,1.1922727272727272
Contra Costa,2015,9,70,1.744
Contra Costa,2015,10,91,1.298131868131868
Contra Costa,2015,11,97,1.2740206185567011
Contra Costa,2015,12,48,1.0135416666666666
Contra Costa,2016,1,7,1.14
Contra Costa,2016,2,80,1.205125
Contra Costa,2016,3,75,1.0822666666666667
Contra Costa,2016,4,103,1.036893203883495
Contra Costa,2016,5,85,1.1188235294117646
Contra Costa,2016,6,114,1.461842105263158
Contra Costa,2016,7,105,1.0864761904761904
Contra Costa,2016,8,86,0.9967441860465116
Contra Costa,2016,9,146,1.1915753424657534
Contra Costa,2016,10,114,1.0428070175438595
Contra Costa,2016,11,83,0.9433734939759035
Contra Costa,2016,12,42,1.000952380952381
Contra Costa,2017,1,27,1.0096296296296297
Contra Costa,2017,2,39,0.9138461538461539
Contra Costa,2017,3,98,1.0366326530612244
Contra Costa,2017,4,91,1.04989010989011
Contra Costa,2017,5,90,0.9975555555555555
Contra Costa,2017,6,113,1.3236283185840707
Contra Costa,2017,7,114,1.7309649122807018
Contra Costa,2017,8,96,2.1236458333333332
Contra Costa,2017,9,111,1.162162162162162
Contra Costa,2017,10,154,1.4964285714285714
Contra Costa,2017,11,52,1.1238461538461537
Contra Costa,2017,12,91,1.160879120879121
Contra Costa,2018,1,40,1.139
Contra Costa,2018,2,123,1.4064227642276423
Contra Costa,2018,3,73,0.9628767123287673
Contra Costa,2018,4,99,1.0413131313131314
Contra Costa,2018,5,90,2.3225555555555557
Contra Costa,2018,6,103,1.4846601941747575
Contra Costa,2018,7,141,2.5568085106382976
Contra Costa,2018,8,123,2.3540650406504064
Contra Costa,2018,9,106,1.319056603773585
Contra Costa,2018,10,103,0.9820388349514564
Contra Costa,2018,11,104,1.007596153846154
Contra Costa,2018,12,47,1.1795744680851064
Contra Costa,2019,1,38,1.170263157894737
Contra Costa,2019,2,17,0.8311764705882352
Contra Costa,2019,3,76,1.075657894736842
Contra Costa,2019,4,88,1.0721590909090908
Contra Costa,2019,5,59,1.0535593220338983
Contra Costa,2019,6,78,3.55525641025641
Contra Costa,2019,7,95,0.9802105263157895
Contra Costa,2019,8,82,1.7375609756097559
Contra Costa,2019,9,113,1.7038938053097343
Contra Costa,2019,10,193,2.3537305699481865
Contra Costa,2019,11,124,1.5763709677419355
Contra Costa,2019,12,30,1.0533333333333335
Contra Costa,2020,1,44,1.0884090909090909
Contra Costa,2020,2,86,1.2987209302325582
Contra Costa,2020,3,98,1.1820408163265306
Contra Costa,2020,4,106,1.1099999999999999
Contra Costa,2020,5,84,1.0083333333333333
Contra Costa,2020,6,98,1.105408163265306
Contra Costa,2020,7,97,10.90556701030928
Contra Costa,2020,8,196,9.284132653061224
Contra Costa,2020,9,81,1.689506172839506
Contra Costa,2020,10,86,0.9501162790697674
Contra Costa,2020,11,60,1.2568333333333332
Contra Costa,2020,12,48,1.3483333333333334
Del Norte,2015,1,2,7.529999999999999
Del Norte,2015,2,1,3.72
Del Norte,2015,6,3,5.78
Del Norte,2015,8,2366,7.271817413355874
Del Norte,2015,9,100,6.430599999999999
Del Norte,2015,10,20,1.7285
Del Norte,2015,11,7,7.002857142857143
Del Norte,2015,12,1,1.89
Del Norte,2016,9,4,6.085
Del Norte,2016,11,2,1.05
Del Norte,2017,7,7,2.3242857142857143
Del Norte,2017,8,649,7.970554699537751
Del Norte,2017,9,879,9.646450511945392
Del Norte,2017,10,28,2.626785714285714
Del Norte,2017,12,1,0.59
Del Norte,2018,7,352,4.944375
Del Norte,2018,8,86,4.151046511627907
Del Norte,2018,9,22,8.956363636363637
Del Norte,2018,10,2,5.8149999999999995
Del Norte,2018,11,3,4.43
Del Norte,2019,10,1,4.12
Del Norte,2020,9,1696,14.224451650943397
Del Norte,2020,10,36,6.46
Del Norte,2020,11,6,10.773333333333333
El Dorado,2015,1,12,17.8475
El Dorado,2015,2,49,13.532448979591837
El Dorado,2015,3,38,5.55
El Dorado,2015,4,10,7.922
El Dorado,2015,6,1,6.85
El Dorado,2015,7,9,14.986666666666666
El Dorado,2015,8,2,7.96
El Dorado,2015,10,61,10.358196721311476
El Dorado,2015,11,276,13.081847826086957
El Dorado,2015,12,54,7.919629629629629
El Dorado,2016,1,2,3.62
El Dorado,2016,2,12,10.880833333333333
El Dorado,2016,3,3,5.223333333333334
El Dorado,2016,4,39,12.300769230769232
El Dorado,2016,5,3,1.1666666666666667
El Dorado,2016,6,66,21.795151515151517
El Dorado,2016,7,245,26.057061224489793
El Dorado,2016,8,3,1.2466666666666668
El Dorado,2016,9,4,3.9475
El Dorado,2016,10,136,14.607426470588235
El Dorado,2016,11,48,13.1975
El Dorado,2016,12,29,6.873448275862068
El Dorado,2017,3,3,4.010000000000001
El Dorado,2017,4,2,1.305
El Dorado,2017,5,37,18.702972972972972
El Dorado,2017,6,7,7.7
El Dorado,2017,7,6,39.51833333333333
El Dorado,2017,8,5,4.724
El Dorado,2017,10,80,15.872625
El Dorado,2017,11,113,7.352212389380532
El Dorado,2017,12,109,13.477981651376146
El Dorado,2018,1,36,4.585833333333333
El Dorado,2018,2,40,9.60675
El Dorado,2018,3,5,1.862
El Dorado,2018,4,8,6.9
