NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3,county_id,event_date,row_id
Alpine,2020,8,54,29.405,1283.0,,2.0,9.0,1.325,-0.8660254037844384,-0.5000000000000004,21.666666666666668,1,2020-08-01,80
Alpine,2020,9,1283,21.246071706936867,3.0,,54.0,2.0,29.405,-1.0,-1.8369701987210294e-16,446.3333333333333,1,2020-09-01,81
Amador,2015,4,1,9.1,108.0,1.0,16.0,7.0,6.408125,0.8660254037844387,-0.4999999999999998,8.0,2,2015-04-01,82
Amador,2015,9,108,15.861018518518518,20.0,0.0,1.0,16.0,9.1,-1.0,-1.8369701987210294e-16,41.666666666666664,2,2015-09-01,83
Amador,2015,10,20,6.0024999999999995,13.0,0.0,108.0,1.0,15.861018518518518,-0.8660254037844386,0.5000000000000001,43.0,2,2015-10-01,84
Amador,2015,11,13,8.423076923076923,3.0,0.0,20.0,108.0,6.0024999999999995,-0.5000000000000004,0.8660254037844384,47.0,2,2015-11-01,85
Amador,2015,12,3,4.576666666666667,4.0,0.0,13.0,20.0,8.423076923076923,-2.4492935982947064e-16,1.0,12.0,2,2015-12-01,86
Amador,2016,2,4,4.0875,1.0,0.0,3.0,13.0,4.576666666666667,0.8660254037844386,0.5000000000000001,6.666666666666667,2,2016-02-01,87
Amador,2016,3,1,2.87,2.0,0.0,4.0,3.0,4.0875,1.0,6.123233995736766e-17,2.6666666666666665,2,2016-03-01,88
Amador,2016,4,2,3.85,4.0,0.0,1.0,4.0,2.87,0.8660254037844387,-0.4999999999999998,2.3333333333333335,2,2016-04-01,89
Amador,2016,7,4,15.31,3.0,0.0,2.0,1.0,3.85,-0.4999999999999998,-0.8660254037844388,2.3333333333333335,2,2016-07-01,90
Amador,2016,9,3,26.51,29.0,0.0,4.0,2.0,15.31,-1.0,-1.8369701987210294e-16,3.0,2,2016-09-01,91
Amador,2016,10,29,7.589310344827586,5.0,0.0,3.0,4.0,26.51,-0.8660254037844386,0.5000000000000001,12.0,2,2016-10-01,92
Amador,2016,11,5,2.496,8.0,0.0,29.0,3.0,7.589310344827586,-0.5000000000000004,0.8660254037844384,12.333333333333334,2,2016-11-01,93
Amador,2017,3,8,12.24375,1.0,0.0,5.0,29.0,2.496,1.0,6.123233995736766e-17,14.0,2,2017-03-01,94
