NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3
Butte,2020,9,3993,11.22250438266967,73.0,1,160.0,13.0,8.5085625,-1.0,-1.8369701987210297e-16,1388.6666666666667
Butte,2020,10,73,7.643013698630138,89.0,1,3993.0,160.0,11.22250438266967,-0.8660254037844386,0.5000000000000001,1408.6666666666667
Butte,2020,11,89,7.15629213483146,42.0,0,73.0,3993.0,7.643013698630138,-0.5000000000000004,0.8660254037844384,1385.0
Calaveras,2015,3,4,11.3725,2.0,0,1.0,1.0,3.2,1.0,6.123233995736766e-17,2.0
Calaveras,2015,4,2,5.275,1.0,0,4.0,1.0,11.3725,0.8660254037844387,-0.49999999999999983,2.3333333333333335
Calaveras,2015,6,1,2.08,1.0,0,2.0,4.0,5.275,1.2246467991473532e-16,-1.0,2.3333333333333335
Calaveras,2015,8,1,1.08,2692.0,1,1.0,2.0,2.08,-0.8660254037844384,-0.5000000000000004,1.3333333333333333
Calaveras,2015,9,2692,25.40375557206538,2.0,0,1.0,1.0,1.08,-1.0,-1.8369701987210297e-16,898.0
Calaveras,2015,11,2,0.8500000000000001,1.0,0,2692.0,1.0,25.40375557206538,-0.5000000000000004,0.8660254037844384,898.3333333333334
Calaveras,2015,12,1,1.77,2.0,0,2.0,2692.0,0.8500000000000001,-2.4492935982947064e-16,1.0,898.3333333333334
Calaveras,2016,1,2,12.845,2.0,0,1.0,2.0,1.77,0.49999999999999994,0.8660254037844387,1.6666666666666667
Calaveras,2016,2,2,3.61,10.0,0,2.0,1.0,12.845,0.8660254037844386,0.5000000000000001,1.6666666666666667
Calaveras,2016,3,10,4.213,6.0,0,2.0,2.0,3.61,1.0,6.123233995736766e-17,4.666666666666667
Calaveras,2016,4,6,2.81,5.0,0,10.0,2.0,4.213,0.8660254037844387,-0.49999999999999983,6.0
Calaveras,2016,5,5,8.443999999999999,29.0,0,6.0,10.0,2.81,0.49999999999999994,-0.8660254037844387,7.0
Calaveras,2016,7,29,34.19310344827586,18.0,0,5.0,6.0,8.443999999999999,-0.4999999999999998,-0.8660254037844388,13.333333333333334
Calaveras,2016,8,18,76.54666666666667,24.0,0,29.0,5.0,34.19310344827586,-0.8660254037844384,-0.5000000000000004,17.333333333333332
Calaveras,2016,11,24,8.030833333333332,8.0,0,18.0,29.0,76.54666666666667,-0.5000000000000004,0.8660254037844384,23.666666666666668
Calaveras,2016,12,8,3.15125,2.0,0,24.0,18.0,8.030833333333332,-2.4492935982947064e-16,1.0,16.666666666666668
Calaveras,2017,1,2,1.605,1.0,0,8.0,24.0,3.15125,0.49999999999999994,0.8660254037844387,11.333333333333334
Calaveras,2017,2,1,2.99,27.0,0,2.0,8.0,1.605,0.8660254037844386,0.5000000000000001,3.6666666666666665
Calaveras,2017,3,27,9.367407407407407,12.0,0,1.0,2.0,2.99,1.0,6.123233995736766e-17,10.0
