NAME,year,month,avg_pm25,next_month_pm25,label_next_month_pm25,pm25_lag1,pm25_lag2,pm25_rolling3,month_sin,month_cos,fire_count,avg_frp,fire_last_1,fire_last_2,frp_last_1,fire_rolling_3,label_next_month
Sutter,2018,3,4.4399999999999995,5.593333333333334,0,8.417857142857143,12.85,13.744124423963134,1.0,6.123233995736766e-17,14,4.440714285714286,75.0,2.0,6.587466666666667,30.333333333333332,0
Sutter,2018,4,5.593333333333334,6.06551724137931,0,4.4399999999999995,8.417857142857143,8.569285714285714,0.8660254037844387,-0.4999999999999998,44,5.720909090909091,14.0,75.0,4.440714285714286,44.333333333333336,0
Sutter,2018,5,6.06551724137931,7.539130434782609,0,5.593333333333334,4.4399999999999995,6.150396825396826,0.4999999999999999,-0.8660254037844387,30,7.626,44.0,14.0,5.720909090909091,29.333333333333332,0
Sutter,2018,6,7.539130434782609,11.74,1,6.06551724137931,5.593333333333334,5.366283524904215,1.2246467991473532e-16,-1.0,20,7.125,30.0,44.0,7.626,31.333333333333332,0
Sutter,2018,7,11.74,21.996666666666663,1,7.539130434782609,6.06551724137931,6.399327003165086,-0.4999999999999998,-0.8660254037844388,13,9.524615384615384,20.0,30.0,7.125,21.0,0
Sutter,2018,8,21.996666666666663,11.553333333333336,1,11.74,7.539130434782609,8.448215892053975,-0.8660254037844384,-0.5000000000000004,32,6.786875,13.0,20.0,9.524615384615384,21.666666666666668,1
Sutter,2018,9,11.553333333333336,8.91851851851852,0,21.996666666666663,11.74,13.758599033816424,-1.0,-1.8369701987210294e-16,84,7.555119047619048,32.0,13.0,6.786875,43.0,1
Sutter,2018,10,8.91851851851852,11.1625,0,11.553333333333336,21.996666666666663,15.09666666666667,-0.8660254037844386,0.5000000000000001,100,6.1787,84.0,32.0,7.555119047619048,72.0,0
Sutter,2018,11,11.1625,12.92,1,8.91851851851852,11.553333333333336,14.156172839506176,-0.5000000000000004,0.8660254037844384,25,8.115599999999999,100.0,84.0,6.1787,69.66666666666667,0
Sutter,2018,12,12.92,13.6,1,11.1625,8.91851851851852,10.544783950617289,-2.4492935982947064e-16,1.0,21,6.350952380952381,25.0,100.0,8.115599999999999,48.666666666666664,0
Sutter,2019,1,13.6,4.7749999999999995,0,12.92,11.1625,11.00033950617284,0.4999999999999999,0.8660254037844387,3,6.766666666666667,21.0,25.0,6.350952380952381,16.333333333333332,0
Sutter,2019,2,4.7749999999999995,4.874193548387097,0,13.6,12.92,12.560833333333337,0.8660254037844386,0.5000000000000001,20,7.948,3.0,21.0,6.766666666666667,14.666666666666666,0
Sutter,2019,3,4.874193548387097,5.978571428571429,0,4.7749999999999995,13.6,10.431666666666668,1.0,6.123233995736766e-17,7,5.28,20.0,3.0,7.948,10.0,0
Sutter,2019,4,5.978571428571429,5.445161290322581,0,4.874193548387097,4.7749999999999995,7.749731182795699,0.8660254037844387,-0.4999999999999998,25,5.1732000000000005,7.0,20.0,5.28,17.333333333333332,0
Sutter,2019,5,5.445161290322581,7.241379310344827,0,5.978571428571429,4.874193548387097,5.209254992319509,0.4999999999999999,-0.8660254037844387,21,3.9785714285714286,25.0,7.0,5.1732000000000005,17.666666666666668,0
Sutter,2019,6,7.241379310344827,9.4,0,5.445161290322581,5.978571428571429,5.4326420890937035,1.2246467991473532e-16,-1.0,33,6.9757575757575765,21.0,25.0,3.9785714285714286,26.333333333333332,0
Sutter,2019,7,9.4,7.493333333333334,0,7.241379310344827,5.445161290322581,6.22170400974628,-0.4999999999999998,-0.8660254037844388,35,8.08657142857143,33.0,21.0,6.9757575757575765,29.666666666666668,0
